"product_name",seller_id,brand_id,"product_url","number_sold","avg_rating","number_reviews","descript","source"
"Giấy thấm dầu kiểm soát nhờn, ngừa mụn Acnes Oil Remover Paper 100 tờ                                                                                                                                                                                                                                                                                                                                  ",17,1,"https://tiki.vn/giay-tham-dau-kiem-soat-nhon-ngua-mun-acnes-oil-remover-paper-100-to-p1634981.html?spid=10862722                                                                                                                                                                                                             "," 102000                                                                                                                  ","4.7                                                                                                                                                     ","258                                                                                                                                          ","Giấy thấm dầu Acnes Oil Remover Paper (100 tờ)

Giấy thấm dầu kiểm soát nhờn, ngừa mụn Acnes Oil Remover Paper 100 tờ được nghiên cứu và phát triển giúp thấm hút chất nhờn dư hiệu quả, phù hợp cho m","Tiki                            "
"Phim Thấm Dầu Acnes Oil Remover Film 50 Tờ                                                                                                                                                                                                                                                                                                                                                             ",17,1,"https://tiki.vn/phim-tham-dau-acnes-oil-remover-film-50-to-p1634983.html?spid=10862503                                                                                                                                                                                                                                       "," 18000                                                                                                                   ","4.9                                                                                                                                                     ","110                                                                                                                                          ","Phim thấm dầu Acnes Oil Remover Film 50 Tờ
Phim thấm dầu Acnes Oil Remover Film được nghiên cứu và phát triển giúp thấm hút hơn 95% chất nhờn dư chỉ với 1 lần chạm, phù hợp cho mọi loại da. Phim thấm","Tiki                            "
"Sữa rửa mặt kiểm soát nhờn ngăn ngừa mụn dạng gel Acnes Oil Control Cleanser 100g                                                                                                                                                                                                                                                                                                                      ",17,1,"https://tiki.vn/sua-rua-mat-kiem-soat-nhon-ngan-ngua-mun-dang-gel-acnes-oil-control-cleanser-100g-p10640154.html?spid=10862885                                                                                                                                                                                               "," 28000                                                                                                                   ","4.7                                                                                                                                                     ","298                                                                                                                                          ","Tên model: Gel rửa mặt kiểm soát nhờn ngăn ngừa mụn Acnes Oil Control Cleanser 100g
Sữa rửa mặt sạch nhờn Acnes Oil Control Cleanser 100 g được nghiên cứu và phát triển dành riêng cho da nhờn, da hỗn","Tiki                            "
"Sữa rửa mặt ngăn ngừa mụn Acnes Creamy Wash 100g                                                                                                                                                                                                                                                                                                                                                       ",17,1,"https://tiki.vn/sua-rua-mat-ngan-ngua-mun-acnes-creamy-wash-100g-p25108217.html?spid=25108218                                                                                                                                                                                                                                "," 63000                                                                                                                   ","4.9                                                                                                                                                     ","223                                                                                                                                          ","Sữa rửa mặt ngăn ngừa mụn Acnes Creamy Wash 100g là sản phẩm sữa rửa mặt được thương hiệu mỹ phẩm Acnes nghiên cứu và phát triển dành riêng cho da nhờn, da hỗn hợp thiên nhờn. Với kết cấu kem mịn và k","Tiki                            "
"Xà phòng trị mụn lưng và rửa mặt Acnes Washing Bar 75g                                                                                                                                                                                                                                                                                                                                                 ",17,1,"https://tiki.vn/xa-phong-tri-mun-lung-va-rua-mat-acnes-washing-bar-75g-p188116913.html?spid=188116914                                                                                                                                                                                                                        "," 10000                                                                                                                   ","4.5                                                                                                                                                     ","11                                                                                                                                           ","Xà phòng tắm và rửa mặt Acnes Washing Bar (75g)
Xà phòng trị mụn lưng và rửa mặt Acnes Washing Bar 75g được nghiên cứu và phát triển phù hợp cho mọi loại da và mọi cấp độ mụn. Sản phẩm kết hợp các ho","Tiki                            "
"Dây sạc Cáp sạc Nam châm Đồng hồ Thông minh Q12, Q16, Q19, Q100, TD26, A28, DS60, DS66, Y95, D06, DF39 Hàng nhập khẩu                                                                                                                                                                                                                                                                                  ",1,2,"https://tiki.vn/day-sac-cap-sac-nam-cham-dong-ho-thong-minh-q12-q16-q19-q100-td26-a28-ds60-ds66-y95-d06-df39-hang-nhap-khau-p68985833.html?spid=75432935                                                                                                                                                                     "," 1000                                                                                                                    ","4.6                                                                                                                                                     ","184                                                                                                                                          ","Dây Cáp Sạc Nam Châm
Dành cho Đồng hồ Thông minh
Sử dụng cho nhiều dòng Đồng hồ có tên trong Danh sách sau
Q12, A28, D06, Q16, DS60, DS66, Y95...và các loại khác đồng hồ khác cùng kiểu sạc
Có 2 lo","Tiki                            "
"Đồng hồ Thông minh Android lắp sim 4G nghe gọi độc lập Định vị Google map Màn hình tròn có CHPlay Tải App Camera Kép 5.0 Kết nối Wifi Loa Tai nghe Bluetooth Theo dõi Sức khỏe vận động Dành cho Trẻ em Nam Học sinh Người lớn Model H10 2024 Hàng nhập khẩu                                                                                                                                           ",1,2,"https://tiki.vn/dong-ho-thong-minh-android-lap-sim-4g-nghe-goi-doc-lap-dinh-vi-google-map-man-hinh-tron-co-chplay-tai-app-camera-kep-5-0-ket-noi-wifi-loa-tai-nghe-bluetooth-theo-doi-suc-khoe-van-dong-danh-cho-tre-em-nam-hoc-sinh-nguoi-lon-model-h10-2023-hang-nhap-khau-p273880674.html?spid=273697142                  "," 282                                                                                                                     ","4.5                                                                                                                                                     ","11                                                                                                                                           ","VIDEO REVIEW AMA WATCH H10
Đồng Hồ Thông Minh AMA H10 - Sự Hoàn Hảo Đến từ Thương hiệu AMA
Trong thế giới ngày nay, công nghệ thông minh ngày càng trở nên không thể thiếu, và Đồng Hồ Thông Minh AMA ","Tiki                            "
"Dây sạc Cáp sạc Từ tính Đồng hồ Thông minh TK S9 CD99 S16 hình tròn 2 - 4 lõi sạc nhanh Truyền dữ liệu Kết nối máy tính Hàng nhập khẩu                                                                                                                                                                                                                                                                 ",19,2,"https://tiki.vn/day-cap-sac-dong-ho-thong-minh-tk-s9-cd99-s16-hinh-tron-2-4-loi-sac-nhanh-truyen-du-lieu-ket-noi-may-tinh-hang-nhap-khau-p274388406.html?spid=274388410                                                                                                                                                      "," 156                                                                                                                     ","4.7                                                                                                                                                     ","6                                                                                                                                            ","Dây sạc Cáp sạc Từ tính Đồng hồ Thông minh TK S9 CD99 S16 hình tròn 2 - 4 lõi sạc nhanh Truyền dữ liệu Kết nối máy tính
- Nếu quý khách không chắc chắn đồng hồ của mình có dùng loại dây sạc này hay k","Tiki                            "
"Đồng hồ Thông minh Chống nước IP67 Dành cho Trẻ em nhuẩn AMA Watch Q16S Hàng chính hãng                                                                                                                                                                                                                                                                                                                ",19,2,"https://tiki.vn/dong-ho-thong-minh-tre-em-chong-nuoc-chuan-ip67-ama-watch-q16s-hang-chinh-hang-p192977208.html?spid=193710186                                                                                                                                                                                                "," 517                                                                                                                     ","4.3                                                                                                                                                     ","100                                                                                                                                          ","  GIỚI THIỆU SẢN PHẨM 
Đồng hồ Thông minh Trẻ em
Định vị GPS, Chống nước IP67
AMA Watch Q16S
Lưu ý: Không nên sử dụng sim Mobi, Intel vì sóng Mobi, Intel chập chờn không tương thích với đồng hồ
️","Tiki                            "
"Adapter Sạc Anker 511 Charger Nano 3 30W 1 Cổng Type-C A2147 - Hàng Chính Hãng                                                                                                                                                                                                                                                                                                                         ",17,3,"https://tiki.vn/adapter-sac-anker-511-charger-nano-3-30w-1-cong-type-c-a2147-hang-chinh-hang-p199525542.html?spid=199525550                                                                                                                                                                                                  "," 890                                                                                                                     ","4.8                                                                                                                                                     ","153                                                                                                                                          ","Nhỏ nhưng mạnh mẽ
Adapter Sạc Anker 511 Charger Nano 3 30W 1 Cổng Type-C A2147 - Bằng cách thay silicon cho GaN, chúng tôi đã có thể lắp công suất 30W vào bộ sạc chỉ dày 1,12 inch và nhỏ hơn 70% so v","Tiki                            "
